FolderPath,PrefabName,InitPos,InitRot,GameObjectName
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,190.9920418278058/-0.612000289916992/-1283.57299779692,0.0/0.0/0.0,B319BS010110
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,190.77138430260376/-0.5859993133544918/-1254.5216950702109,0.0/0.0/0.0,B319BS010111
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,29.063141207832878/-0.259999099731445/-1384.7789355656823,0.0/0.0/0.0,B319BS010112
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,25.77588090108484/-0.40799981689453096/-1386.4661002522776,0.0/0.0/0.0,B319BS010113
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-125.77745866085581/-0.4660003814697261/-705.4059978019583,0.0/0.0/0.0,B319BS010114
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,258.5408003829207/-0.02500039672851528/-692.0747172589893,0.0/0.0/0.0,B319BS010115
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,246.39954832291426/-0.039999786376952784/-704.9695594964543,0.0/0.0/0.0,B319BS010116
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,248.57716291070625/-0.029999557495116843/-707.0670711542745,0.0/0.0/0.0,B319BS010117
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,279.1828289295871/-0.03399926757812466/-709.296187565231,0.0/0.0/0.0,B319BS010118
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,276.48754192875697/-0.017999869970210323/-711.3884977966507,0.0/0.0/0.0,B319BS010119
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-213.39758639680463/-0.4494998678917944/-1423.2142179157308,0.0/0.0/0.0,B319BS010120
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-209.8264587536175/-0.4414999572129301/-1423.3614978028743,0.0/0.0/0.0,B319BS010121
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-206.34323510607905/-0.47600061035156216/-1423.276496632915,0.0/0.0/0.0,B319BS010122
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-202.58617823398166/-0.5088384518948756/-1423.2074985188206,0.0/0.0/0.0,B319BS010123
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,360.4435323129851/0.14300077819824253/-1208.202216590285,0.0/0.0/0.0,B319BS010124
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,357.71425061619215/0.060000595092773785/-1232.074536090133,0.0/0.0/0.0,B319BS010125
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-202.18846021498516/-0.5600002441406245/-1566.0739978097276,0.0/0.0/0.0,B319BS010126
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-205.65170807710504/-0.5450008544921874/-1566.0087454783156,0.0/0.0/0.0,B319BS010127
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-209.15395874719727/-0.49599916076660117/-1566.1419978009483,0.0/0.0/0.0,B319BS010128
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-212.73495875177565/-0.4879997406005856/-1566.1939978018788,0.0/0.0/0.0,B319BS010129
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-213.55726978176583/-0.48000036491785314/-1388.5187477822515,0.0/0.0/0.0,B319BS010130
